Date,Open,High,Low,Close
07/25/2022,"3,967.75","3,988.75","3,946.00","3,970.00"
07/22/2022,"3,988.00","4,016.25","3,941.50","3,965.00"
07/21/2022,"3,954.00","4,004.75","3,930.25","4,001.25"
07/20/2022,"3,947.00","3,977.25","3,922.25","3,962.50"
07/19/2022,"3,838.50","3,948.00","3,834.00","3,937.50"
07/18/2022,"3,878.50","3,909.50","3,820.25","3,833.75"
07/15/2022,"3,797.75","3,868.25","3,780.25","3,865.00"
07/14/2022,"3,795.75","3,806.25","3,723.75","3,793.25"
07/13/2022,"3,825.00","3,873.00","3,752.00","3,804.50"
07/12/2022,"3,862.00","3,876.50","3,804.75","3,823.75"
07/11/2022,"3,900.00","3,900.75","3,850.00","3,856.75"
07/08/2022,"3,897.00","3,922.00","3,868.00","3,901.25"
07/07/2022,"3,853.75","3,914.25","3,832.50","3,905.00"
07/06/2022,"3,838.00","3,875.00","3,808.75","3,848.25"
07/05/2022,"3,813.50","3,857.75","3,744.00","3,834.00"
07/01/2022,"3,782.00","3,833.50","3,744.50","3,827.25"
06/30/2022,"3,822.75","3,825.00","3,741.25","3,789.50"
06/29/2022,"3,828.25","3,840.00","3,801.25","3,821.25"
06/28/2022,"3,911.25","3,950.00","3,821.75","3,825.50"
06/27/2022,"3,915.00","3,948.00","3,892.50","3,903.75"
06/24/2022,"3,785.25","3,919.75","3,781.25","3,916.25"
06/23/2022,"3,761.25","3,805.75","3,735.00","3,799.75"
06/22/2022,"3,766.25","3,805.50","3,693.25","3,762.75"
06/21/2022,"3,716.00","3,783.75","3,710.50","3,767.75"
06/17/2022,"3,680.50","3,713.50","3,639.00","3,675.75"
06/16/2022,"3,799.00","3,833.25","3,642.00","3,671.25"
06/15/2022,"3,743.50","3,843.00","3,723.50","3,793.50"
06/14/2022,"3,760.75","3,807.50","3,708.50","3,740.25"
06/13/2022,"3,877.25","3,878.50","3,735.25","3,753.50"
06/10/2022,"4,026.00","4,030.50","3,896.50","3,900.50"
06/09/2022,"4,117.75","4,145.75","4,016.00","4,017.50"
06/08/2022,"4,150.75","4,160.00","4,105.25","4,114.00"
06/07/2022,"4,122.00","4,164.00","4,076.00","4,158.75"
06/06/2022,"4,110.50","4,168.25","4,104.50","4,120.50"
06/03/2022,"4,177.75","4,189.00","4,096.75","4,107.00"
06/02/2022,"4,097.75","4,179.00","4,072.25","4,175.25"
06/01/2022,"4,138.50","4,165.00","4,071.50","4,099.00"
05/31/2022,"4,175.75","4,180.00","4,102.75","4,131.25"
05/27/2022,"4,047.50","4,168.25","4,041.25","4,155.75"
05/26/2022,"3,972.25","4,073.50","3,960.50","4,055.75"
05/25/2022,"3,950.00","3,997.75","3,913.50","3,976.75"
05/24/2022,"3,951.75","3,954.50","3,872.00","3,940.50"
05/23/2022,"3,910.50","3,982.25","3,906.50","3,971.75"
05/20/2022,"3,900.50","3,949.50","3,807.50","3,899.50"
05/19/2022,"3,916.50","3,943.50","3,856.00","3,897.75"
05/18/2022,"4,091.25","4,095.00","3,905.50","3,922.75"
05/17/2022,"4,002.00","4,091.50","4,000.50","4,084.75"
05/16/2022,"4,025.00","4,043.50","3,979.50","4,004.75"
05/13/2022,"3,916.25","4,036.00","3,915.50","4,019.75"
05/12/2022,"3,939.75","3,961.75","3,855.00","3,927.25"
05/11/2022,"3,990.50","4,050.50","3,923.75","3,930.25"
05/10/2022,"3,993.25","4,065.50","3,953.00","3,996.75"
05/09/2022,"4,087.25","4,099.00","3,970.00","3,987.50"
05/06/2022,"4,146.50","4,153.25","4,062.00","4,119.50"
05/05/2022,"4,289.75","4,300.75","4,099.25","4,143.25"
05/04/2022,"4,171.25","4,303.00","4,142.75","4,295.25"
05/03/2022,"4,145.50","4,195.75","4,129.00","4,169.25"
05/02/2022,"4,144.00","4,165.75","4,056.00","4,151.00"
04/29/2022,"4,244.00","4,279.75","4,118.75","4,127.50"
04/28/2022,"4,213.00","4,303.50","4,182.50","4,283.50"
04/27/2022,"4,149.50","4,236.25","4,149.00","4,180.25"
04/26/2022,"4,294.00","4,303.50","4,136.75","4,170.50"
04/25/2022,"4,259.00","4,296.50","4,195.25","4,292.75"
04/22/2022,"4,385.75","4,393.25","4,247.50","4,267.25"
04/21/2022,"4,468.00","4,509.00","4,380.00","4,390.50"
04/20/2022,"4,441.00","4,484.25","4,432.75","4,455.50"
04/19/2022,"4,399.00","4,467.00","4,371.75","4,459.25"
04/18/2022,"4,390.00","4,406.25","4,355.50","4,386.75"
04/14/2022,"4,438.50","4,455.75","4,385.00","4,387.50"
04/13/2022,"4,396.75","4,449.50","4,384.00","4,442.25"
04/12/2022,"4,411.00","4,466.75","4,375.50","4,393.00"
04/11/2022,"4,488.75","4,491.25","4,403.50","4,409.00"
